nodeID,count
42440022,179
597711097,179
42432165,178
42493860,178
42442931,177
42432825,177
42474819,177
42427915,176
42448707,176
42739311,176
42434249,176
42474833,176
42754988,176
42440829,176
42497598,176
4597668041,176
42430265,176
42443054,175
42461438,175
42473383,175
42469049,174
42427762,173
42432659,173
276204325,173
42750596,172
42430314,171
39076490,171
42736339,170
42448563,170
42430367,170
42871334,170
42968902,170
42460985,169
42451370,169
42822315,169
42430344,169
42875103,169
596775946,169
42435805,168
42427133,168
42508768,168
42725346,168
42466282,168
42731002,167
42741436,167
42430143,167
42443950,167
42508904,166
277029035,166
42430282,166
42445649,166
42474828,165
42432580,165
42430320,165
42801971,164
42436531,164
42431556,164
5031288131,164
42489166,163
42753246,163
42444458,163
42430295,163
2757013562,163
42444964,162
42440737,162
5314096944,162
42430745,162
42497476,162
42437881,162
42443556,161
42808482,161
42435420,161
42501976,161
42885400,161
42878606,161
272195272,160
274304230,160
42508585,160
42731033,160
42474829,160
42731023,159
42739615,159
42886407,159
42430279,159
42435645,159
42865493,158
4443775464,158
274304552,158
42464975,158
42428303,158
42510419,157
42876468,157
274420286,157
42433604,157
42899428,157
5421246257,156
42925332,156
1970262957,156
42430292,156
42495629,156
42494706,156
42430361,156
42489275,155
42452973,155
42737472,155
42736340,155
42815862,155
42505482,155
42736085,155
42437589,154
42436489,154
42435668,154
42449979,154
42437580,154
42491688,154
42876363,154
42448379,154
42495652,154
42495624,154
42820566,153
42423674,153
42437914,153
42882996,153
1348697717,153
1918039877,152
4202516277,152
42442286,152
42430311,152
42440463,152
42445020,152
42443528,152
42487909,152
1942053881,152
596775892,151
42850037,151
42881733,151
42430352,151
42479945,151
3884569931,151
588114961,150
42492219,150
42818661,150
42806538,150
42764764,150
42837653,150
42816001,150
42868785,149
42422028,149
42478411,149
42434946,149
42430390,149
42445011,149
42447009,149
597414826,148
42430277,148
2141026518,148
42430378,148
42432585,148
42508588,147
4026460325,147
42430317,147
42489206,147
42431257,147
42443975,147
42474825,147
452391560,147
42439181,146
4347550071,146
42443680,145
597826209,145
2827501292,145
42444452,145
42429017,145
42430342,145
42436707,144
42846565,144
42911507,144
42904285,144
42445661,143
42429222,143
1061531807,143
42435707,143
42452975,143
42443388,142
42445369,142
42430338,142
42470156,142
42768613,141
42465599,141
42491940,141
42438774,141
42486357,141
42437928,141
42917872,141
1061531448,141
42442933,141
42832999,140
42520980,140
42481708,140
5052125058,139
42446086,139
42732852,139
42489113,139
42484790,139
42432589,139
42973930,139
42474795,139
42430363,139
42430375,139
588114972,139
42432693,139
42504961,139
42886437,139
42437909,139
42491599,138
42445656,138
42520965,138
42497826,138
42481699,138
42474338,138
42907592,138
588115006,138
42430356,138
42444453,138
42430350,138
42430324,138
42920204,138
42440804,138
42443561,138
42423116,137
42431099,137
42468624,137
42448714,137
42508803,137
3324555215,137
42508608,137
42869097,137
42474802,137
42489331,136
42806293,136
4205169122,136
42504102,136
42742739,136
42440153,136
42450071,135
246580758,135
42455039,135
42842479,135
42484200,135
42768995,135
42450044,135
42436710,135
595105499,135
42512583,135
61273001,134
42806241,134
42440951,134
42732273,134
42430669,133
